,,Aberdeen Anderson Dr,,,,,,,,,,,,,,,,,,Aberdeen Erroll Park,,,,,,,,,,,,,,,,,,Aberdeen King Street,,,,,,,,,,,,,,,,,,Aberdeen Market Street 2,,,,,,,,,,,,,,,,,,Aberdeen Union Street Roadside,,,,,,,,,,,,,,,,,,Aberdeen Wellington Road,,,,,,,,,,,,,,,,,
Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM1 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM1 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM1 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM1 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM1 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
01/01/2022,01:00,5.2,P µg/m³,14.8,P µg/m³,22.8,P µg/m³,10.3,P µg/m³ (FIDAS),7.3,P µg/m³ (Ref.eq),5.5,P µg/m³ (FIDAS),222.1,P °,4.7,P m/s,7.5,P °C,47.4,P µg/m³,1.1,P µg/m³,12.4,P µg/m³,14.1,P µg/m³,16.6,P µg/m³ (FIDAS),11.6,P µg/m³ (Ref.eq),222.1,P °,4.7,P m/s,7.5,P °C,no data,no data,66.4,P µg/m³,no data,no data,19,P µg/m³ (FIDAS),14.2,P µg/m³ (Ref.eq),12,P µg/m³ (FIDAS),222.1,P °,4.7,P m/s,7.5,P °C,1.4,P µg/m³,7.3,P µg/m³,9.4,P µg/m³,14.6,P µg/m³ (FIDAS),9.3,P µg/m³ (Ref.eq),6.7,P µg/m³ (FIDAS),222.1,P °,4.7,P m/s,7.5,P °C,6.3,P µg/m³,15.1,P µg/m³,24.8,P µg/m³,15.4,P µg/m³ (FIDAS),10.9,P µg/m³ (Ref.eq),8.5,P µg/m³ (FIDAS),222.1,P °,4.7,P m/s,7.5,P °C,1.6,P µg/m³,8,P µg/m³,10.4,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),222.1,P °,4.7,P m/s,7.5,P °C
01/01/2022,02:00,1,P µg/m³,5.6,P µg/m³,7.2,P µg/m³,11.6,P µg/m³ (FIDAS),7.1,P µg/m³ (Ref.eq),4.8,P µg/m³ (FIDAS),215.5,P °,4.6,P m/s,7.7,P °C,23.2,P µg/m³,3.2,P µg/m³,38.8,P µg/m³,43.7,P µg/m³,13.5,P µg/m³ (FIDAS),8,P µg/m³ (Ref.eq),215.5,P °,4.6,P m/s,7.7,P °C,no data,no data,228.8,P µg/m³,no data,no data,14.6,P µg/m³ (FIDAS),8.8,P µg/m³ (Ref.eq),6,P µg/m³ (FIDAS),215.5,P °,4.6,P m/s,7.7,P °C,2.8,P µg/m³,10.6,P µg/m³,14.8,P µg/m³,13.4,P µg/m³ (FIDAS),7.5,P µg/m³ (Ref.eq),4.7,P µg/m³ (FIDAS),215.5,P °,4.6,P m/s,7.7,P °C,5,P µg/m³,15.1,P µg/m³,22.8,P µg/m³,14.2,P µg/m³ (FIDAS),9.8,P µg/m³ (Ref.eq),7.4,P µg/m³ (FIDAS),215.5,P °,4.6,P m/s,7.7,P °C,2,P µg/m³,6.4,P µg/m³,9.5,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),215.5,P °,4.6,P m/s,7.7,P °C
01/01/2022,03:00,0.7,P µg/m³,10.7,P µg/m³,11.8,P µg/m³,9.5,P µg/m³ (FIDAS),6.1,P µg/m³ (Ref.eq),4.4,P µg/m³ (FIDAS),203,P °,5.9,P m/s,8.2,P °C,29.1,P µg/m³,2.6,P µg/m³,31.5,P µg/m³,35.6,P µg/m³,16.8,P µg/m³ (FIDAS),9,P µg/m³ (Ref.eq),203,P °,5.9,P m/s,8.2,P °C,no data,no data,153.3,P µg/m³,no data,no data,19.6,P µg/m³ (FIDAS),9.4,P µg/m³ (Ref.eq),5.6,P µg/m³ (FIDAS),203,P °,5.9,P m/s,8.2,P °C,8.1,P µg/m³,19.5,P µg/m³,31.9,P µg/m³,12.5,P µg/m³ (FIDAS),7.5,P µg/m³ (Ref.eq),5,P µg/m³ (FIDAS),203,P °,5.9,P m/s,8.2,P °C,4.5,P µg/m³,16.8,P µg/m³,23.6,P µg/m³,11.5,P µg/m³ (FIDAS),8,P µg/m³ (Ref.eq),6.1,P µg/m³ (FIDAS),203,P °,5.9,P m/s,8.2,P °C,1.3,P µg/m³,6.3,P µg/m³,8.3,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),203,P °,5.9,P m/s,8.2,P °C
01/01/2022,04:00,1.8,P µg/m³,4.9,P µg/m³,7.7,P µg/m³,9.4,P µg/m³ (FIDAS),5.8,P µg/m³ (Ref.eq),3.5,P µg/m³ (FIDAS),187.8,P °,6.4,P m/s,8.5,P °C,29.2,P µg/m³,4.2,P µg/m³,33.5,P µg/m³,39.9,P µg/m³,13.2,P µg/m³ (FIDAS),7.5,P µg/m³ (Ref.eq),187.8,P °,6.4,P m/s,8.5,P °C,no data,no data,135.8,P µg/m³,no data,no data,14.6,P µg/m³ (FIDAS),7.9,P µg/m³ (Ref.eq),4.4,P µg/m³ (FIDAS),187.8,P °,6.4,P m/s,8.5,P °C,2,P µg/m³,8.2,P µg/m³,11.3,P µg/m³,11.9,P µg/m³ (FIDAS),6.7,P µg/m³ (Ref.eq),3.8,P µg/m³ (FIDAS),187.8,P °,6.4,P m/s,8.5,P °C,3.6,P µg/m³,9.4,P µg/m³,14.9,P µg/m³,10.9,P µg/m³ (FIDAS),7.1,P µg/m³ (Ref.eq),4.6,P µg/m³ (FIDAS),187.8,P °,6.4,P m/s,8.5,P °C,2.2,P µg/m³,5.5,P µg/m³,8.9,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),187.8,P °,6.4,P m/s,8.5,P °C
01/01/2022,05:00,0.4,P µg/m³,3.7,P µg/m³,4.4,P µg/m³,9.7,P µg/m³ (FIDAS),5.8,P µg/m³ (Ref.eq),3.3,P µg/m³ (FIDAS),190,P °,8,P m/s,9.8,P °C,38.9,P µg/m³,2,P µg/m³,27.4,P µg/m³,30.4,P µg/m³,12.8,P µg/m³ (FIDAS),7.4,P µg/m³ (Ref.eq),190,P °,8,P m/s,9.8,P °C,no data,no data,123.1,P µg/m³,no data,no data,13.6,P µg/m³ (FIDAS),7.7,P µg/m³ (Ref.eq),4.3,P µg/m³ (FIDAS),190,P °,8,P m/s,9.8,P °C,1.9,P µg/m³,6.5,P µg/m³,9.4,P µg/m³,12.4,P µg/m³ (FIDAS),7.2,P µg/m³ (Ref.eq),3.9,P µg/m³ (FIDAS),190,P °,8,P m/s,9.8,P °C,2.5,P µg/m³,6,P µg/m³,9.8,P µg/m³,11.6,P µg/m³ (FIDAS),7.1,P µg/m³ (Ref.eq),4,P µg/m³ (FIDAS),190,P °,8,P m/s,9.8,P °C,2.6,P µg/m³,7.8,P µg/m³,11.8,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),190,P °,8,P m/s,9.8,P °C
01/01/2022,06:00,0.3,P µg/m³,3.9,P µg/m³,4.4,P µg/m³,12.5,P µg/m³ (FIDAS),7.5,P µg/m³ (Ref.eq),4.1,P µg/m³ (FIDAS),190,P °,9.5,P m/s,9.5,P °C,53.6,P µg/m³,1.1,P µg/m³,15.7,P µg/m³,17.5,P µg/m³,14.3,P µg/m³ (FIDAS),8.4,P µg/m³ (Ref.eq),190,P °,9.5,P m/s,9.5,P °C,no data,no data,73.7,P µg/m³,no data,no data,15.9,P µg/m³ (FIDAS),8.9,P µg/m³ (Ref.eq),4.7,P µg/m³ (FIDAS),190,P °,9.5,P m/s,9.5,P °C,0.9,P µg/m³,4.9,P µg/m³,6.3,P µg/m³,14.9,P µg/m³ (FIDAS),8.6,P µg/m³ (Ref.eq),4.6,P µg/m³ (FIDAS),190,P °,9.5,P m/s,9.5,P °C,1.9,P µg/m³,4.8,P µg/m³,7.7,P µg/m³,14.6,P µg/m³ (FIDAS),8.3,P µg/m³ (Ref.eq),4.4,P µg/m³ (FIDAS),190,P °,9.5,P m/s,9.5,P °C,1.2,P µg/m³,6.8,P µg/m³,8.6,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),190,P °,9.5,P m/s,9.5,P °C
01/01/2022,07:00,0.5,P µg/m³,3.2,P µg/m³,3.9,P µg/m³,16.3,P µg/m³ (FIDAS),9.6,P µg/m³ (Ref.eq),5.4,P µg/m³ (FIDAS),187.8,P °,10.6,P m/s,9.1,P °C,47,P µg/m³,1.5,P µg/m³,19.6,P µg/m³,21.9,P µg/m³,19.5,P µg/m³ (FIDAS),11.3,P µg/m³ (Ref.eq),187.8,P °,10.6,P m/s,9.1,P °C,no data,no data,109.2,P µg/m³,no data,no data,21.1,P µg/m³ (FIDAS),11.9,P µg/m³ (Ref.eq),6.8,P µg/m³ (FIDAS),187.8,P °,10.6,P m/s,9.1,P °C,1,P µg/m³,10,P µg/m³,11.5,P µg/m³,20.3,P µg/m³ (FIDAS),11.8,P µg/m³ (Ref.eq),6.6,P µg/m³ (FIDAS),187.8,P °,10.6,P m/s,9.1,P °C,1.9,P µg/m³,5.6,P µg/m³,8.6,P µg/m³,18.7,P µg/m³ (FIDAS),10.7,P µg/m³ (Ref.eq),5.9,P µg/m³ (FIDAS),187.8,P °,10.6,P m/s,9.1,P °C,1.1,P µg/m³,9.4,P µg/m³,11.1,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),187.8,P °,10.6,P m/s,9.1,P °C
01/01/2022,08:00,0.3,P µg/m³,3.3,P µg/m³,3.8,P µg/m³,17.7,P µg/m³ (FIDAS),10.9,P µg/m³ (Ref.eq),6.6,P µg/m³ (FIDAS),183.6,P °,10,P m/s,8.9,P °C,50.5,P µg/m³,1.4,P µg/m³,13.1,P µg/m³,15.3,P µg/m³,20,P µg/m³ (FIDAS),11.8,P µg/m³ (Ref.eq),183.6,P °,10,P m/s,8.9,P °C,no data,no data,77,P µg/m³,no data,no data,22.8,P µg/m³ (FIDAS),12.6,P µg/m³ (Ref.eq),7.3,P µg/m³ (FIDAS),183.6,P °,10,P m/s,8.9,P °C,1.9,P µg/m³,5.8,P µg/m³,8.7,P µg/m³,22.3,P µg/m³ (FIDAS),12.1,P µg/m³ (Ref.eq),6.9,P µg/m³ (FIDAS),183.6,P °,10,P m/s,8.9,P °C,2.3,P µg/m³,4.4,P µg/m³,7.9,P µg/m³,21.3,P µg/m³ (FIDAS),12.3,P µg/m³ (Ref.eq),7.2,P µg/m³ (FIDAS),183.6,P °,10,P m/s,8.9,P °C,1.2,P µg/m³,4.9,P µg/m³,6.7,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),183.6,P °,10,P m/s,8.9,P °C
01/01/2022,09:00,0.4,P µg/m³,3.7,P µg/m³,4.3,P µg/m³,19.6,P µg/m³ (FIDAS),11.5,P µg/m³ (Ref.eq),6.8,P µg/m³ (FIDAS),192.9,P °,8.9,P m/s,9.3,P °C,41.9,P µg/m³,2,P µg/m³,17.9,P µg/m³,21,P µg/m³,22.5,P µg/m³ (FIDAS),12.8,P µg/m³ (Ref.eq),192.9,P °,8.9,P m/s,9.3,P °C,no data,no data,93.2,P µg/m³,no data,no data,23.5,P µg/m³ (FIDAS),13.3,P µg/m³ (Ref.eq),7.7,P µg/m³ (FIDAS),192.9,P °,8.9,P m/s,9.3,P °C,2.1,P µg/m³,5.7,P µg/m³,8.9,P µg/m³,22.6,P µg/m³ (FIDAS),13,P µg/m³ (Ref.eq),7.5,P µg/m³ (FIDAS),192.9,P °,8.9,P m/s,9.3,P °C,2,P µg/m³,4.7,P µg/m³,7.8,P µg/m³,21.2,P µg/m³ (FIDAS),12.6,P µg/m³ (Ref.eq),7.3,P µg/m³ (FIDAS),192.9,P °,8.9,P m/s,9.3,P °C,1.1,P µg/m³,5.1,P µg/m³,6.8,P µg/m³,nodata,P µg/m³ (FIDAS),nodata,P µg/m³ (Ref.eq),nodata,P µg/m³ (FIDAS),192.9,P °,8.9,P m/s,9.3,P °C
